time_stamp,sensor_index,humidity,temperature,pm2.5_atm,datetime,pm2.5_corrected,aqi
1780484400,173211,67,93,2.6,2026-06-03 11:00:00,1.3376000000000001,7.431111111111112
1780455600,173211,75,91,3.2,2026-06-03 03:00:00,0.9828000000000001,5.460000000000001
1777363200,173211,51,99,4.1,2026-04-28 08:00:00,3.489,19.383333333333333
1779465600,173211,87,84,5.8,2026-05-22 16:00:00,1.3583999999999996,7.546666666666664
1770066000,173211,66,84,27.5,2026-02-02 21:00:00,14.718599999999999,61.46811406844107
1770044400,173211,57,88,20.2,2026-02-02 15:00:00,11.579999999999998,55.620532319391636
1770030000,173211,59,92,25.9,2026-02-02 11:00:00,14.454999999999998,60.97699619771863
1769990400,173211,75,83,15.8,2026-02-02 00:00:00,7.711200000000001,42.84
1769997600,173211,74,84,20.7,2026-02-02 02:00:00,10.4122,53.44478326996198
1775833200,173211,62,88,19.6,2026-04-10 15:00:00,10.837600000000002,54.237353612167304
1774648800,173211,69,88,30.1,2026-03-27 22:00:00,15.853800000000003,63.58312547528518
1780390800,173211,57,97,3.2,2026-06-02 09:00:00,2.502,13.899999999999999
1780437600,173211,82,86,1.0,2026-06-02 22:00:00,0.0,0.0
1780419600,173211,77,89,2.3,2026-06-02 17:00:00,0.33340000000000014,1.8522222222222229
1775444400,173211,56,94,7.5,2026-04-06 03:00:00,4.8826,27.125555555555554
1770685200,173211,63,80,41.7,2026-02-10 01:00:00,22.5546,76.06750570342206
1770742800,173211,45,87,23.8,2026-02-10 17:00:00,14.5152,61.08915589353612
1781920800,173211,82,86,20.9,2026-06-20 02:00:00,9.843800000000002,52.38578707224335
1781964000,173211,71,89,25.9,2026-06-20 14:00:00,13.4422,59.09003041825095
1771066800,173211,59,88,26.7,2026-02-14 11:00:00,14.882199999999997,61.77292015209125
1771099200,173211,60,85,21.7,2026-02-14 20:00:00,12.1278,56.64114828897338
1774810800,173211,64,88,19.2,2026-03-29 19:00:00,10.455200000000001,53.52489733840304
1781672400,173211,67,92,5.8,2026-06-17 05:00:00,3.0464,16.924444444444443
1781661600,173211,81,88,20.0,2026-06-17 02:00:00,9.4476,51.64761977186312
1777050000,173211,70,88,19.8,2026-04-24 17:00:00,10.269200000000001,53.17835741444867
1777035600,173211,64,90,16.9,2026-04-24 13:00:00,9.227,51.23661596958175
1777003200,173211,72,88,13.0,2026-04-24 04:00:00,6.4692,35.94
1779091200,173211,58,97,8.9,2026-05-18 08:00:00,5.4614,30.34111111111111
1779080400,173211,62,95,9.8,2026-05-18 05:00:00,5.604400000000001,31.13555555555556
1773748800,173211,53,94,6.9,2026-03-17 12:00:00,4.8154,26.752222222222223
1773763200,173211,61,91,13.8,2026-03-17 16:00:00,7.824800000000001,43.471111111111114
1770678000,173211,63,79,34.2,2026-02-09 23:00:00,18.5496,68.60571863117872
1770627600,173211,26,100,19.1,2026-02-09 09:00:00,13.609000000000002,59.400798479087456
1773478800,173211,59,90,12.5,2026-03-14 09:00:00,7.2994,40.55222222222222
1773496800,173211,56,89,25.1,2026-03-14 14:00:00,14.281000000000002,60.65281368821293
1773475200,173211,67,91,24.5,2026-03-14 08:00:00,13.0322,58.326152091254755
1770872400,173211,53,91,21.9,2026-02-12 05:00:00,12.825399999999998,57.94085931558935
1770876000,173211,48,94,20.0,2026-02-12 06:00:00,12.232800000000001,56.836775665399244
1770865200,173211,64,85,27.2,2026-02-12 03:00:00,14.7272,61.48413688212928
1769396400,173211,64,88,30.3,2026-01-26 03:00:00,16.382600000000004,64.5683422053232
1769421600,173211,50,97,13.7,2026-01-26 10:00:00,8.6998,48.33222222222222
1769724000,173211,67,81,26.3,2026-01-29 22:00:00,13.993400000000001,60.116980988593156
1770260400,173211,62,87,35.8,2026-02-05 03:00:00,19.4884,70.35481368821293
1770307200,173211,75,83,32.9,2026-02-05 16:00:00,16.8426,65.42537642585552
1770526800,173211,49,90,37.5,2026-02-08 05:00:00,21.4934,74.09036501901141
1770508800,173211,60,82,31.6,2026-02-08 00:00:00,17.4144,66.4907072243346
1770192000,173211,45,96,20.2,2026-02-04 08:00:00,12.5928,57.507498098859315
1777712400,173211,49,100,1.5,2026-05-02 09:00:00,2.2694,12.607777777777779
1777716000,173211,52,99,1.6,2026-05-02 10:00:00,2.0696000000000003,11.49777777777778
1769371200,173211,68,87,21.1,2026-01-25 20:00:00,11.132200000000001,54.78622813688213
1779166800,173211,67,93,2.3,2026-05-19 05:00:00,1.1774000000000004,6.541111111111113
1779206400,173211,82,87,7.4,2026-05-19 16:00:00,2.6348000000000007,14.637777777777782
1779210000,173211,81,88,5.8,2026-05-19 17:00:00,1.8647999999999998,10.359999999999998
1781035200,173211,84,87,2.6,2026-06-09 20:00:00,0.0,0.0
1781002800,173211,68,93,4.5,2026-06-09 11:00:00,2.2678,12.598888888888887
1781013600,173211,75,90,4.6,2026-06-09 14:00:00,1.7304,9.613333333333333
1779807600,173211,77,88,4.4,2026-05-26 15:00:00,1.4547999999999996,8.08222222222222
1774965600,173211,58,92,19.4,2026-03-31 14:00:00,11.0684,54.66736121673004
1774958400,173211,52,95,18.6,2026-03-31 12:00:00,11.1476,54.814920152091254
1774998000,173211,61,88,15.2,2026-03-31 23:00:00,8.572399999999998,47.624444444444435
1779523200,173211,60,96,1.8,2026-05-23 08:00:00,1.5011999999999999,8.339999999999998
1779505200,173211,81,88,6.0,2026-05-23 03:00:00,1.9716,10.953333333333333
1770148800,173211,68,83,28.6,2026-02-03 20:00:00,15.1372,62.24801520912548
1775127600,173211,64,91,23.2,2026-04-02 11:00:00,12.5912,57.504517110266164
1775163600,173211,74,85,21.6,2026-04-02 21:00:00,10.892800000000001,54.34019771863118
1775239200,173211,65,86,14.8,2026-04-03 18:00:00,8.0212,44.562222222222225
1773000000,173211,64,87,33.2,2026-03-08 20:00:00,17.931200000000004,67.45356653992397
1776024000,173211,75,86,13.9,2026-04-12 20:00:00,6.696600000000001,37.20333333333334
1771783200,173211,71,87,23.8,2026-02-22 18:00:00,12.320800000000002,57.000730038022816
1779670800,173211,82,87,13.4,2026-05-25 01:00:00,5.838800000000001,32.43777777777778
1779721200,173211,76,89,2.8,2026-05-25 15:00:00,0.6848000000000001,3.8044444444444445
1779987600,173211,80,88,11.8,2026-05-28 17:00:00,5.1532,28.628888888888888
1779984000,173211,77,89,9.9,2026-05-28 16:00:00,4.391800000000001,24.39888888888889
1779930000,173211,86,86,11.9,2026-05-28 01:00:00,4.700200000000001,26.112222222222226
1780909200,173211,78,86,2.4,2026-06-08 09:00:00,0.30239999999999956,1.6799999999999975
1780923600,173211,83,85,16.2,2026-06-08 13:00:00,7.2496,40.275555555555556
1772301600,173211,65,88,37.4,2026-02-28 18:00:00,20.089599999999997,71.47492015209124
1772269200,173211,48,96,24.3,2026-02-28 09:00:00,14.529,61.114866920152096
1772290800,173211,59,91,28.4,2026-02-28 15:00:00,15.79,63.46425855513308
1779609600,173211,65,94,3.1,2026-05-24 08:00:00,1.7734000000000005,9.852222222222224
1779638400,173211,77,88,3.4,2026-05-24 16:00:00,0.9207999999999998,5.115555555555554
1781215200,173211,88,81,1.9,2026-06-11 22:00:00,0.0,0.0
1781208000,173211,91,82,1.7,2026-06-11 20:00:00,0.0,0.0
1781182800,173211,85,83,5.8,2026-06-11 13:00:00,1.5271999999999997,8.484444444444442
1781427600,173211,62,95,6.2,2026-06-14 09:00:00,3.6820000000000004,20.455555555555556
1778097600,173211,79,85,17.3,2026-05-06 20:00:00,8.174600000000002,45.41444444444445
1769472000,173211,66,83,22.8,2026-01-27 00:00:00,12.2088,56.7920608365019
1769490000,173211,45,94,17.8,2026-01-27 05:00:00,11.3112,55.119726235741446
1781236800,173211,82,88,6.0,2026-06-12 04:00:00,1.8872000000000004,10.484444444444447
1778504400,173211,79,85,16.5,2026-05-11 13:00:00,7.7474,43.04111111111111
1773388800,173211,50,97,11.7,2026-03-13 08:00:00,7.6318,42.39888888888889
1773439200,173211,74,84,26.9,2026-03-13 22:00:00,13.722999999999999,59.61319391634981
1780272000,173211,84,86,11.5,2026-06-01 00:00:00,4.6554,25.863333333333333
1773072000,173211,60,90,27.8,2026-03-09 16:00:00,15.385200000000001,62.71006844106464
1781787600,173211,86,85,13.5,2026-06-18 13:00:00,5.554600000000001,30.85888888888889
1781823600,173211,88,82,10.8,2026-06-18 23:00:00,3.944000000000001,21.911111111111115
1778684400,173211,81,83,24.4,2026-05-13 15:00:00,11.7972,56.025201520912546
1771124400,173211,63,86,29.3,2026-02-15 03:00:00,15.933,63.73068441064639
1780207200,173211,59,96,2.9,2026-05-31 06:00:00,2.1729999999999996,12.07222222222222
1769616000,173211,62,88,40.7,2026-01-28 16:00:00,22.105,75.22984790874526
1769641200,173211,64,80,30.5,2026-01-28 23:00:00,16.489400000000003,64.76732319391635
1772830800,173211,67,86,34.9,2026-03-06 21:00:00,18.585800000000003,68.67316349809886
1772812800,173211,61,89,21.6,2026-03-06 16:00:00,11.990000000000002,56.384410646387835
1779894000,173211,83,86,15.0,2026-05-27 15:00:00,6.6088,36.715555555555554
1774004400,173211,49,96,16.6,2026-03-20 11:00:00,10.332800000000002,53.29685171102662
1778018400,173211,72,87,23.5,2026-05-05 22:00:00,12.0762,56.54501140684411
1778004000,173211,67,90,32.4,2026-05-05 18:00:00,17.2508,66.18590114068442
1778731200,173211,78,84,10.1,2026-05-14 04:00:00,4.414199999999999,24.52333333333333
1778792400,173211,84,80,12.1,2026-05-14 21:00:00,4.9758000000000004,27.643333333333334
1778738400,173211,83,84,16.3,2026-05-14 06:00:00,7.303,40.57222222222222
1777424400,173211,72,88,13.5,2026-04-29 01:00:00,6.7362,37.42333333333333
1777446000,173211,48,100,1.3,2026-04-29 07:00:00,2.2470000000000003,12.483333333333334
1777449600,173211,47,101,0.8,2026-04-29 08:00:00,2.0644,11.46888888888889
1780768800,173211,85,86,2.1,2026-06-06 18:00:00,0.0,0.0
1772899200,173211,58,90,32.5,2026-03-07 16:00:00,18.0638,67.70061596958175
1772910000,173211,63,88,43.6,2026-03-07 19:00:00,23.569200000000002,77.95782509505705
1771437600,173211,62,84,9.5,2026-02-18 18:00:00,5.4442,30.245555555555555
1771394400,173211,52,93,15.8,2026-02-18 06:00:00,9.6524,52.02918631178707
1774126800,173211,69,87,25.6,2026-03-21 21:00:00,13.450800000000001,59.106053231939164
1774119600,173211,70,87,24.0,2026-03-21 19:00:00,12.512,57.356958174904946
1769230800,173211,50,92,21.4,2026-01-24 05:00:00,12.8116,57.915148288973384
1777788000,173211,55,97,3.8,2026-05-03 06:00:00,2.9911999999999996,16.617777777777775
1776938400,173211,53,98,3.6,2026-04-23 10:00:00,3.0532,16.96222222222222
1776956400,173211,70,86,15.1,2026-04-23 15:00:00,7.759399999999999,43.10777777777777
1776924000,173211,56,96,4.7,2026-04-23 06:00:00,3.3874000000000004,18.81888888888889
1779267600,173211,61,95,2.0,2026-05-20 09:00:00,1.5235999999999992,8.464444444444439
1779249600,173211,67,93,1.6,2026-05-20 04:00:00,0.8036000000000003,4.464444444444446
1771974000,173211,73,84,28.1,2026-02-24 23:00:00,14.4482,60.96432699619772
1771945200,173211,67,88,12.9,2026-02-24 15:00:00,6.8378000000000005,37.98777777777778
1771963200,173211,69,87,18.5,2026-02-24 20:00:00,9.659400000000002,52.04222813688213
1772506800,173211,55,87,46.0,2026-03-03 03:00:00,25.526,81.6035741444867
1772499600,173211,65,80,60.9,2026-03-03 01:00:00,32.638600000000004,94.85518631178708
1776110400,173211,74,86,22.4,2026-04-13 20:00:00,11.32,55.13612167300381
1776042000,173211,75,86,14.8,2026-04-13 01:00:00,7.177200000000001,39.873333333333335
1772031600,173211,66,87,8.8,2026-02-25 15:00:00,4.7328,26.293333333333333
1778572800,173211,65,91,13.5,2026-05-12 08:00:00,7.327000000000001,40.705555555555556
1778544000,173211,81,85,23.5,2026-05-12 00:00:00,11.316600000000001,55.129787072243346
1774893600,173211,65,90,34.7,2026-03-30 18:00:00,18.6478,68.78867680608366
1774854000,173211,45,100,19.1,2026-03-30 07:00:00,12.005400000000002,56.413102661596966
1776330000,173211,48,99,3.1,2026-04-16 09:00:00,3.2082000000000006,17.823333333333338
1780869600,173211,85,84,2.5,2026-06-07 22:00:00,0.0,0.0
1780873200,173211,82,83,2.1,2026-06-07 23:00:00,0.0,0.0
1780840800,173211,78,88,15.3,2026-06-07 14:00:00,7.191000000000001,39.95
1774666800,173211,53,94,20.1,2026-03-28 03:00:00,11.8642,56.15003041825095
1774720800,173211,62,91,18.9,2026-03-28 18:00:00,10.463799999999999,53.54092015209125
1777590000,173211,76,86,5.7,2026-04-30 23:00:00,2.2333999999999996,12.407777777777776
1778911200,173211,73,90,8.8,2026-05-16 06:00:00,4.142,23.011111111111113
1771578000,173211,64,90,16.6,2026-02-20 09:00:00,9.0668,500.0
1771614000,173211,76,84,27.0,2026-02-20 19:00:00,13.607600000000001,59.39819011406844
1771610400,173211,76,84,18.6,2026-02-20 18:00:00,9.122,51.040988593155895
1771603200,173211,76,84,17.3,2026-02-20 16:00:00,8.427800000000001,46.821111111111115
1781528400,173211,75,90,11.2,2026-06-15 13:00:00,5.2548,29.193333333333335
